gene_id,gene_name
ensmusg00000100623,gm29428
ensmusg00000086633,gm16081
ensmusg00000026401,cd55b
ensmusg00000090533,gm8214
ensmusg00000103305,gm34068
ensmusg00000104007,gm38332
ensmusg00000102743,gm38108
ensmusg00000039384,dusp10
ensmusg00000044854,1700056e22rik
ensmusg00000104419,2900092o11rik
ensmusg00000089057,gm23349
ensmusg00000102606,rpl21-ps1
ensmusg00000103314,gm38358
ensmusg00000039377,hlx
ensmusg00000026254,eif4e2
ensmusg00000101468,gm7761
ensmusg00000088318,gm26187
ensmusg00000073730,ppp1r14bl
ensmusg00000089553,gm24176
ensmusg00000102766,gm6420
ensmusg00000065405,mir30a
ensmusg00000097970,gm27028
ensmusg00000065567,mir30c-2
ensmusg00000100775,gm29107
ensmusg00000101226,gm20954
ensmusg00000026255,efhd1
ensmusg00000026158,ogfrl1
ensmusg00000097920,gm7784
ensmusg00000026156,b3gat2
ensmusg00000073481,mtarc2
ensmusg00000088559,mir1981
ensmusg00002076207,gm55575
ensmusg00000039349,c130074g19rik
ensmusg00000026587,astn1
ensmusg00000103762,gm37861
ensmusg00000103971,gm37679
ensmusg00000070103,mir488
ensmusg00000102508,gm37367
ensmusg00000102618,gm37848
ensmusg00000026620,mark1
ensmusg00000102784,gm38251
ensmusg00000026155,smap1
ensmusg00000026154,sdhaf4
ensmusg00000102495,gm26524
ensmusg00000073530,pappa2
ensmusg00000047661,1600012p17rik
ensmusg00000061992,gm4953
ensmusg00000104169,gm7430
ensmusg00000038305,spats2l
ensmusg00000091283,gm17234
ensmusg00000054770,kctd18
ensmusg00000026039,sgo2a
ensmusg00000040782,cop1
ensmusg00000103572,gm37115
ensmusg00000103186,gm37088
ensmusg00002074853,scarna3a
ensmusg00000105399,mir1843b
ensmusg00000103289,gm31256
ensmusg00000103389,gm37757
ensmusg00000039318,rab3gap2
